consumer,origin,input,input_group,product,input_category,cropland_km2,blue_water_km3,ghg_Gt,biodiv,n_application_Tg,p_application_Tg
EU-27,EUR,Wool (Clean Eq.),"Hides, skins, wool",Textiles (17),animal-based,0,0,0,0,0,0
EU-27,EUR,Bovine Meat,Meat,Textiles (17),animal-based,0,2.17833756931645e-10,0,0,0,0
EU-27,EUR,Mutton & Goat Meat,Meat,Textiles (17),animal-based,0,2.67007575113708e-21,0,0,0,0
EU-27,EUR,Poultry Meat,Meat,Textiles (17),animal-based,0,3.7403745558546e-24,0,0,0,0
EU-27,EUR,"Offals, Edible",Meat,Textiles (17),animal-based,0,0,0,0,0,0
EU-27,EUR,Hides and skins,"Hides, skins, wool",Textiles (17),animal-based,0,0,0,0,0,0
EU-27,EUR,"Fish, Seafood",Fish,Textiles (17),animal-based,0,0,1.83805124123319e-07,0,0,0
EU-27,AFR,Wheat and products,Cereals,Textiles (17),other crops,3.48579268332554e-05,0.000496028762517145,5.14944860855004e-06,2.02580404862497e-05,3.26676186712001e-05,1.39355935628024e-05
EU-27,AFR,Barley and products,Cereals,Textiles (17),other crops,5.21047050900415e-06,0.000185913030362042,3.10902971905001e-07,1.50363716140108e-05,8.84039021450549e-06,2.60781838604303e-06
EU-27,AFR,Maize and products,Cereals,Textiles (17),other crops,3.38657576297402e-05,0.0012660644961887,1.36092513754273e-05,3.02824756955733e-05,6.5743878028612e-05,6.45717564128245e-06
EU-27,AFR,Oats,Cereals,Textiles (17),other crops,2.82637387858575e-08,4.44222778611968e-06,8.59115969562548e-10,1.49977476485834e-08,3.57961333590828e-08,8.72039689833908e-09
EU-27,AFR,"Cereals, Other",Cereals,Textiles (17),other crops,1.50559857442672e-05,2.07838207529568e-05,7.19358643539165e-06,1.16261898289912e-05,1.06928039520325e-05,3.02242835455808e-06
EU-27,AFR,Potatoes and products,Roots and tubers,Textiles (17),other crops,4.64761819143652e-06,0.00166822680589375,8.6715331577597e-07,3.61305566387257e-06,4.85886982514541e-05,9.22584034746301e-06
EU-27,AFR,"Pulses, Other and products","Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,5.99910580841218e-07,1.94265886910678e-06,1.54044741508828e-07,4.96587121197043e-07,1.14324168720934e-07,1.02707149918279e-07
EU-27,AFR,Groundnuts,Oil crops,Textiles (17),other crops,5.92650178036595e-05,0.00160134097956147,1.50208855617005e-05,1.20833344341691e-05,1.82349009596648e-05,3.11563845875395e-06
EU-27,AFR,Sunflower seed,Oil crops,Textiles (17),other crops,1.1004872427885e-06,5.00064832622139e-05,1.34004151596346e-07,5.37118748222898e-06,3.80286821546979e-06,7.95737627221332e-07
EU-27,AFR,Rape and Mustardseed,Oil crops,Textiles (17),other crops,4.03223834139342e-07,1.12342707002297e-07,3.62233572025158e-08,2.74601431271682e-06,5.5037363314832e-09,1.63294606778957e-09
EU-27,AFR,Seed cotton,Oil crops,Textiles (17),other crops,0.00376270537785395,0.195516037811859,0.00192815590598274,0.00299672921890811,0.00456145800885798,0.000544590429734981
EU-27,AFR,"Vegetables, Other","Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,5.23978739046965e-09,9.90387507718356e-07,1.79272071811031e-09,1.73331154881478e-08,7.5096926565499e-08,2.0880910842031e-08
EU-27,AFR,Dates,"Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,5.40119144749297e-08,7.48839510381733e-05,6.08776180999927e-09,1.95843538682808e-08,4.42257498079426e-07,7.94195796768986e-08
EU-27,AFR,Tobacco,"Tobacco, rubber",Textiles (17),other crops,4.19033595621242e-07,4.41338081583611e-06,1.64341992339901e-07,4.86840203453251e-07,5.85511145174371e-07,2.82142647463587e-07
EU-27,AFR,Fodder crops,Fodder crops,Textiles (17),other crops,1.71932602479349e-06,6.0904574622048e-05,1.39627091670982e-07,1.661669408714e-06,8.41815452115619e-06,8.75961761108937e-07
EU-27,AFR,Grazing,Grazing,Textiles (17),other crops,0,0,3.51428274750952e-07,0.00148464372326308,4.77454612349474e-05,9.20535788272492e-06
EU-27,AFR,Cottonseed,Fibre crops,Textiles (17),fibre crops,0,0,8.51168054450939e-07,0,0,0
EU-27,AFR,"Sweeteners, Other","Sugar, sweeteners",Textiles (17),other crops,0,0,1.72414606047223e-08,0,0,0
EU-27,AFR,Soyabean Oil,Vegetable oils,Textiles (17),other crops,0,0,3.12296302723027e-08,0,0,0
EU-27,AFR,Sunflowerseed Oil,Vegetable oils,Textiles (17),other crops,0,0,4.58485282881959e-09,0,0,0
EU-27,AFR,"Oilcrops Oil, Other",Vegetable oils,Textiles (17),other crops,0,0,2.59998868193773e-07,0,0,0
EU-27,AFR,Groundnut Cake,Oil cakes,Textiles (17),other crops,0,0,9.50916452151548e-10,0,0,0
EU-27,AFR,Sunflowerseed Cake,Oil cakes,Textiles (17),other crops,0,0,2.65768343530378e-10,0,0,0
EU-27,AFR,Rape and Mustard Cake,Oil cakes,Textiles (17),other crops,0,0,2.86252169213654e-11,0,0,0
EU-27,AFR,Cotton lint,Fibre crops,Textiles (17),fibre crops,0,0,8.15275243998391e-05,0,0,0
EU-27,AFR,Cattle,Live animals,Textiles (17),animal-based,0,0.000471093092342049,2.22406593204164e-05,0,0,0
EU-27,AFR,Sheep,Live animals,Textiles (17),animal-based,0,0.00110243936811561,0.000203076251812351,0,0,0
EU-27,AFR,Goats,Live animals,Textiles (17),animal-based,0,4.14578066987127e-05,8.02121373096038e-06,0,0,0
EU-27,AFR,Horses,Live animals,Textiles (17),animal-based,0,2.05650252924553e-06,1.02237904765422e-08,0,0,0
EU-27,AFR,Milk - Excluding Butter,Milk,Textiles (17),animal-based,0,0,8.66731575186409e-07,0,0,0
EU-27,AFR,Wool (Clean Eq.),"Hides, skins, wool",Textiles (17),animal-based,0,0,0,0,0,0
EU-27,AFR,Hides and skins,"Hides, skins, wool",Textiles (17),animal-based,0,0,0,0,0,0
EU-27,AFR,"Fish, Seafood",Fish,Textiles (17),animal-based,0,0,1.09014794710545e-07,0,0,0
EU-27,AFR,Rice and products,Cereals,Textiles (17),other crops,1.16589463285115e-05,0.00344390241440201,1.17433360412516e-05,3.1946355173877e-06,7.25623286455789e-06,1.17656034447199e-06
EU-27,AFR,Millet and products,Cereals,Textiles (17),other crops,1.51696089299207e-06,4.52951111512233e-07,6.47079765045036e-07,1.57432687114935e-07,9.24929602051343e-08,2.11306555180731e-08
EU-27,AFR,Sorghum and products,Cereals,Textiles (17),other crops,5.2936641570719e-05,0.000734627930998159,1.14512001203047e-05,1.68347104562936e-05,8.47089935450849e-06,1.38031482705911e-06
EU-27,AFR,Cassava and products,Roots and tubers,Textiles (17),other crops,2.34039503717341e-05,3.12419168648583e-07,7.73092607333345e-06,1.8456630938046e-05,1.20740862650113e-06,4.14300506808743e-07
EU-27,AFR,Sweet potatoes,Roots and tubers,Textiles (17),other crops,4.9661395792187e-08,1.55278075824308e-06,4.08045124122748e-08,8.26326670243124e-08,3.91152927077549e-08,3.61404031779215e-09
EU-27,AFR,Sugar cane,Sugar crops,Textiles (17),other crops,3.5939832440891e-06,0.000616718798965142,7.71731709208154e-06,2.38999114559933e-05,4.97894234389837e-06,5.46747566270218e-07
EU-27,AFR,Beans,"Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,9.54058458073795e-08,1.45267569707617e-06,7.14570010947627e-08,1.01280754359424e-07,3.57972639861909e-08,1.91852790673018e-08
EU-27,AFR,Soyabeans,Oil crops,Textiles (17),other crops,1.16079482724909e-06,7.59757427201106e-05,2.39256811478673e-07,3.31959563854588e-06,8.01265923307064e-07,2.99013907057391e-07
EU-27,AFR,"Oil, palm fruit",Oil crops,Textiles (17),other crops,3.38028005535555e-05,2.24623844471878e-05,8.09648900077825e-08,4.6998575477564e-05,1.00608453316434e-05,1.70625716444054e-06
EU-27,AFR,"Oilcrops, Other",Oil crops,Textiles (17),other crops,1.39494092500757e-05,9.34568517571855e-05,4.88402173855581e-06,8.44488601902603e-06,8.828669669791e-10,1.22717067517314e-11
EU-27,AFR,Jute-Like Fibres,Fibre crops,Textiles (17),fibre crops,1.08777905390482e-05,4.0014303899721e-05,6.36667670972913e-08,8.6654543712056e-06,2.89398493720506e-05,3.38076991522162e-06
EU-27,AFR,Sisal,Fibre crops,Textiles (17),fibre crops,4.40886516116248e-05,0.000634274306281054,3.16349863527107e-05,9.52878211189472e-05,2.77372750751251e-06,2.99793144444221e-05
EU-27,AFR,Palm kernels,Oil crops,Textiles (17),other crops,0,0,3.42520052951614e-08,0,0,0
